frame,time_s,nose_x,nose_y,nose_c,l_shoulder_x,l_shoulder_y,l_shoulder_c,r_shoulder_x,r_shoulder_y,r_shoulder_c,l_hip_x,l_hip_y,l_hip_c,r_hip_x,r_hip_y,r_hip_c,l_knee_x,l_knee_y,l_knee_c,r_knee_x,r_knee_y,r_knee_c,l_ankle_x,l_ankle_y,l_ankle_c,r_ankle_x,r_ankle_y,r_ankle_c
0,0.0,911.4920654296875,228.984375,0.9778979420661926,933.7097778320312,307.5072326660156,0.9694507718086243,800.470458984375,305.484375,0.9940205216407776,907.404296875,520.3295288085938,0.9884656667709351,808.0882568359375,520.3939208984375,0.994398295879364,927.7152099609375,696.6017456054688,0.9772511124610901,764.7794799804688,696.358154296875,0.9886161684989929,950.1725463867188,863.6654663085938,0.9280133843421936,736.1221313476562,862.5430297851562,0.9529100060462952
1,0.033266998341625206,909.9744873046875,226.70452880859375,0.9752231240272522,930.8978271484375,307.8445129394531,0.968880295753479,800.44189453125,307.2792053222656,0.994147777557373,910.442138671875,518.0665283203125,0.9894124865531921,813.0520629882812,518.8085327148438,0.9949803948402405,928.104736328125,691.2447509765625,0.980156660079956,767.0255126953125,692.5493774414062,0.9903050661087036,949.1943969726562,861.2548828125,0.9378069043159485,736.2650756835938,861.483642578125,0.96003258228302
2,0.06653399668325041,912.7432250976562,227.09788513183594,0.9735884070396423,931.7886352539062,306.45391845703125,0.9694837927818298,802.4288330078125,307.1074523925781,0.9941040873527527,910.2762451171875,517.6748657226562,0.9901989698410034,813.9164428710938,518.962890625,0.9952844977378845,927.7014770507812,690.1788940429688,0.9814921021461487,767.6807250976562,693.0842895507812,0.9908387064933777,949.6329956054688,858.322509765625,0.9413224458694458,735.4299926757812,860.3453979492188,0.9619274139404297
3,0.09980099502487562,910.0513916015625,228.7569580078125,0.9775655269622803,931.9090576171875,306.2882995605469,0.9716302752494812,802.0929565429688,308.43109130859375,0.9940213561058044,908.5140380859375,515.915771484375,0.9888952970504761,811.96826171875,517.923583984375,0.9944190382957458,926.738525390625,688.0001220703125,0.9781387448310852,769.500244140625,692.089599609375,0.9886795878410339,951.5185546875,856.037109375,0.9298647046089172,739.5368041992188,858.3718872070312,0.953036367893219
4,0.13306799336650083,905.5426635742188,238.37232971191406,0.9714441895484924,925.21435546875,311.1314392089844,0.9792349338531494,803.5565185546875,312.1578674316406,0.9946165680885315,906.0615234375,512.5701293945312,0.9940487146377563,814.43798828125,514.3287963867188,0.9966302514076233,924.7368774414062,681.6483764648438,0.9869224429130554,773.2622680664062,687.9248657226562,0.992497444152832,947.2879028320312,852.6293334960938,0.9492978453636169,745.3313598632812,858.6187744140625,0.9639459848403931
5,0.16633499170812605,908.7503051757812,232.50833129882812,0.975413978099823,932.0372314453125,309.4422912597656,0.9754162430763245,801.48193359375,306.3137512207031,0.9914976954460144,905.38330078125,516.8644409179688,0.9881504774093628,810.4415283203125,517.2540893554688,0.9928274750709534,926.3779907226562,683.8800659179688,0.9742956757545471,775.4657592773438,684.5972290039062,0.9841347336769104,946.819580078125,854.0902099609375,0.9147230982780457,751.4500122070312,850.065185546875,0.9356833696365356
6,0.19960199004975124,908.3738403320312,238.7292938232422,0.9646116495132446,931.5263671875,314.0428161621094,0.9677512049674988,801.0423583984375,311.41058349609375,0.9888824820518494,904.1295776367188,524.4937133789062,0.9846567511558533,809.7786865234375,524.3267822265625,0.990746021270752,928.657470703125,690.288818359375,0.9665180444717407,780.0863037109375,686.9918212890625,0.979422390460968,946.171142578125,860.6342163085938,0.8925104737281799,756.2708740234375,850.7655029296875,0.9189069867134094
7,0.23286898839137646,913.6990356445312,233.1295623779297,0.963740348815918,936.6996459960938,313.7425231933594,0.9614357948303223,805.2537841796875,312.3515930175781,0.9893518090248108,904.9711303710938,531.391845703125,0.9847805500030518,808.9735107421875,531.4411010742188,0.991802990436554,930.1301879882812,698.5797729492188,0.9693626165390015,774.3919067382812,695.9356079101562,0.9832165837287903,950.8645629882812,864.498779296875,0.9093194007873535,747.1505737304688,856.64453125,0.9363437294960022
8,0.26613598673300165,921.3133544921875,238.57855224609375,0.9710941910743713,941.2235107421875,314.7520751953125,0.962306559085846,807.51513671875,312.343505859375,0.9919396042823792,907.338134765625,533.2731323242188,0.9855985641479492,809.6984252929688,532.651611328125,0.9931226372718811,933.8253173828125,703.4628295898438,0.9703331589698792,773.4906005859375,698.4756469726562,0.9855169653892517,951.4992065429688,868.7659301757812,0.9121402502059937,744.1268920898438,858.3630981445312,0.9426077008247375
9,0.29940298507462687,915.0941162109375,237.6317138671875,0.9745373725891113,940.5919189453125,313.56756591796875,0.9713099002838135,807.6738891601562,312.3273010253906,0.9932413101196289,908.997802734375,531.521728515625,0.9892423748970032,811.5582885742188,531.2510375976562,0.9946316480636597,935.784912109375,705.5784912109375,0.9756640195846558,773.6272583007812,701.875244140625,0.9876787066459656,954.0191040039062,867.2869873046875,0.9206525087356567,743.7236938476562,859.4813842773438,0.9472464323043823
